Borough,City,Latitude,Longitude
Tempelhof-Schöneberg,Berlin,52.4406033,13.3737035
Neukölln,Berlin,52.4811497,13.4353501
Charlottenburg-Wilmersdorf,Berlin,52.5078558,13.2639518
Schöneberg,Berlin,52.482157,13.3551901
Friedrichshain-Kreuzberg,Berlin,52.5011154,13.4442848
Mitte,Berlin,52.5178855,13.4040601
Pankow,Berlin,52.5979174,13.435316
Bezirksteil Sendlinger Feld,munich,48.11414445,11.550176655394429
Bezirksteil Am Schlachthof,munich,48.124568,11.555180834936365
Bezirksteil Glockenbach,munich,48.1278638,11.5706135
Bezirksteil Obere Au,munich,48.1240402,11.591179647878166
Bezirksteil Echarding,munich,48.12736565,11.617461468778984
Bezirksteil Friedenheim,munich,48.1361974,11.5184281
Bezirksteil Westend,munich,48.13584795,11.533597395662994
Bezirksteil Ludwigsvorstadt-Kliniken,munich,48.13510925,11.560655469801649
Bezirksteil Graggenau,munich,48.13956325,11.580182034078117
Bezirksteil Steinhausen,munich,48.1381528,11.610294198148601
Bezirksteil Parkstadt,munich,48.14569015,11.621935210735241
Bezirksteil Marsfeld,munich,48.145854549999996,11.550135669336331
Bezirksteil Königsplatz,munich,48.14554215,11.566671526886738
Bezirksteil Englischer Garten Süd,munich,48.148353400000005,11.59123572462537
Bezirksteil Altbogenhausen,munich,48.14451855,11.605714623873624
Bezirksteil Schwere-Reiter-Straße,munich,48.162021100000004,11.55758302196005
Bezirksteil Neuschwabing,munich,48.15921555,11.570658267560948
Bezirksteil Kleinhesselohe,munich,48.15606545,11.598019325761836
Bezirksteil Am Luitpoldpark,munich,48.17053485,11.571827825567606
Bezirksteil Münchener Freiheit,munich,48.16849195,11.589832177242094
